SETS,1,2,3,4,5,6,7,8,9,10,FirmaID
e1,0.1111,0.0000,0.0000,0.0000,0.1111,1.0000,0.0000,0.1111,0.0000,0.0000,0.0000
e2,1.0000,0.0278,0.0556,0.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
e3,0.0741,1.0000,1.0000,0.0000,0.0370,0.0370,0.0000,1.0000,0.0000,0.0000,0.0000
e4,0.0000,0.0000,0.0000,0.0556,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
e5,1.0000,0.0556,1.0000,0.0000,0.0556,0.0556,0.0000,0.1111,0.0000,0.0000,0.0000
e6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
e7,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,1.0000
e8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
e9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
e10,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0556,0.0000,0.0000,0.0000,1.0000
