Experiment_ID,Target_Sparsity,Num_Params,Num_Elements,Matrix_Size,Param_Element_Ratio
1,0.0,3,3,9,1.0
2,0.0,3,3,9,1.0
3,0.0,3,3,9,1.0
4,0.0,3,3,9,1.0
5,0.0,3,3,9,1.0
6,0.0,3,3,9,1.0
7,0.0,3,3,9,1.0
8,0.0,3,3,9,1.0
9,0.0,3,3,9,1.0
10,0.0,3,3,9,1.0
11,0.0,4,5,20,0.8
12,0.0,4,5,20,0.8
13,0.0,4,5,20,0.8
14,0.0,4,5,20,0.8
15,0.0,4,5,20,0.8
16,0.0,4,5,20,0.8
17,0.0,4,5,20,0.8
18,0.0,4,5,20,0.8
19,0.0,4,5,20,0.8
20,0.0,4,5,20,0.8
21,0.0,5,5,25,1.0
22,0.0,5,5,25,1.0
23,0.0,5,5,25,1.0
24,0.0,5,5,25,1.0
25,0.0,5,5,25,1.0
26,0.0,5,5,25,1.0
27,0.0,5,5,25,1.0
28,0.0,5,5,25,1.0
29,0.0,5,5,25,1.0
30,0.0,5,5,25,1.0
31,0.0,6,8,48,0.75
32,0.0,6,8,48,0.75
33,0.0,6,8,48,0.75
34,0.0,6,8,48,0.75
35,0.0,6,8,48,0.75
36,0.0,6,8,48,0.75
37,0.0,6,8,48,0.75
38,0.0,6,8,48,0.75
39,0.0,6,8,48,0.75
40,0.0,6,8,48,0.75
41,0.0,8,10,80,0.8
42,0.0,8,10,80,0.8
43,0.0,8,10,80,0.8
44,0.0,8,10,80,0.8
45,0.0,8,10,80,0.8
46,0.0,8,10,80,0.8
47,0.0,8,10,80,0.8
48,0.0,8,10,80,0.8
49,0.0,8,10,80,0.8
50,0.0,8,10,80,0.8
51,0.25,3,3,9,1.0
52,0.25,3,3,9,1.0
53,0.25,3,3,9,1.0
54,0.25,3,3,9,1.0
55,0.25,3,3,9,1.0
56,0.25,3,3,9,1.0
57,0.25,3,3,9,1.0
58,0.25,3,3,9,1.0
59,0.25,3,3,9,1.0
60,0.25,3,3,9,1.0
61,0.25,4,5,20,0.8
62,0.25,4,5,20,0.8
63,0.25,4,5,20,0.8
64,0.25,4,5,20,0.8
65,0.25,4,5,20,0.8
66,0.25,4,5,20,0.8
67,0.25,4,5,20,0.8
68,0.25,4,5,20,0.8
69,0.25,4,5,20,0.8
70,0.25,4,5,20,0.8
71,0.25,5,5,25,1.0
72,0.25,5,5,25,1.0
73,0.25,5,5,25,1.0
74,0.25,5,5,25,1.0
75,0.25,5,5,25,1.0
76,0.25,5,5,25,1.0
77,0.25,5,5,25,1.0
78,0.25,5,5,25,1.0
79,0.25,5,5,25,1.0
80,0.25,5,5,25,1.0
81,0.25,6,8,48,0.75
82,0.25,6,8,48,0.75
83,0.25,6,8,48,0.75
84,0.25,6,8,48,0.75
85,0.25,6,8,48,0.75
86,0.25,6,8,48,0.75
87,0.25,6,8,48,0.75
88,0.25,6,8,48,0.75
89,0.25,6,8,48,0.75
90,0.25,6,8,48,0.75
91,0.25,8,10,80,0.8
92,0.25,8,10,80,0.8
93,0.25,8,10,80,0.8
94,0.25,8,10,80,0.8
95,0.25,8,10,80,0.8
96,0.25,8,10,80,0.8
97,0.25,8,10,80,0.8
98,0.25,8,10,80,0.8
99,0.25,8,10,80,0.8
100,0.25,8,10,80,0.8
101,0.5,3,3,9,1.0
102,0.5,3,3,9,1.0
103,0.5,3,3,9,1.0
104,0.5,3,3,9,1.0
105,0.5,3,3,9,1.0
106,0.5,3,3,9,1.0
107,0.5,3,3,9,1.0
108,0.5,3,3,9,1.0
109,0.5,3,3,9,1.0
110,0.5,3,3,9,1.0
111,0.5,4,5,20,0.8
112,0.5,4,5,20,0.8
113,0.5,4,5,20,0.8
114,0.5,4,5,20,0.8
115,0.5,4,5,20,0.8
116,0.5,4,5,20,0.8
117,0.5,4,5,20,0.8
118,0.5,4,5,20,0.8
119,0.5,4,5,20,0.8
120,0.5,4,5,20,0.8
121,0.5,5,5,25,1.0
122,0.5,5,5,25,1.0
123,0.5,5,5,25,1.0
124,0.5,5,5,25,1.0
125,0.5,5,5,25,1.0
126,0.5,5,5,25,1.0
127,0.5,5,5,25,1.0
128,0.5,5,5,25,1.0
129,0.5,5,5,25,1.0
130,0.5,5,5,25,1.0
131,0.5,6,8,48,0.75
132,0.5,6,8,48,0.75
133,0.5,6,8,48,0.75
134,0.5,6,8,48,0.75
135,0.5,6,8,48,0.75
136,0.5,6,8,48,0.75
137,0.5,6,8,48,0.75
138,0.5,6,8,48,0.75
139,0.5,6,8,48,0.75
140,0.5,6,8,48,0.75
141,0.5,8,10,80,0.8
142,0.5,8,10,80,0.8
143,0.5,8,10,80,0.8
144,0.5,8,10,80,0.8
145,0.5,8,10,80,0.8
146,0.5,8,10,80,0.8
147,0.5,8,10,80,0.8
148,0.5,8,10,80,0.8
149,0.5,8,10,80,0.8
150,0.5,8,10,80,0.8
151,0.75,3,3,9,1.0
152,0.75,3,3,9,1.0
153,0.75,3,3,9,1.0
154,0.75,3,3,9,1.0
155,0.75,3,3,9,1.0
156,0.75,3,3,9,1.0
157,0.75,3,3,9,1.0
158,0.75,3,3,9,1.0
159,0.75,3,3,9,1.0
160,0.75,3,3,9,1.0
161,0.75,4,5,20,0.8
162,0.75,4,5,20,0.8
163,0.75,4,5,20,0.8
164,0.75,4,5,20,0.8
165,0.75,4,5,20,0.8
166,0.75,4,5,20,0.8
167,0.75,4,5,20,0.8
168,0.75,4,5,20,0.8
169,0.75,4,5,20,0.8
170,0.75,4,5,20,0.8
171,0.75,5,5,25,1.0
172,0.75,5,5,25,1.0
173,0.75,5,5,25,1.0
174,0.75,5,5,25,1.0
175,0.75,5,5,25,1.0
176,0.75,5,5,25,1.0
177,0.75,5,5,25,1.0
178,0.75,5,5,25,1.0
179,0.75,5,5,25,1.0
180,0.75,5,5,25,1.0
181,0.75,6,8,48,0.75
182,0.75,6,8,48,0.75
183,0.75,6,8,48,0.75
184,0.75,6,8,48,0.75
185,0.75,6,8,48,0.75
186,0.75,6,8,48,0.75
187,0.75,6,8,48,0.75
188,0.75,6,8,48,0.75
189,0.75,6,8,48,0.75
190,0.75,6,8,48,0.75
191,0.75,8,10,80,0.8
192,0.75,8,10,80,0.8
193,0.75,8,10,80,0.8
194,0.75,8,10,80,0.8
195,0.75,8,10,80,0.8
196,0.75,8,10,80,0.8
197,0.75,8,10,80,0.8
198,0.75,8,10,80,0.8
199,0.75,8,10,80,0.8
200,0.75,8,10,80,0.8
201,0.9,3,3,9,1.0
202,0.9,3,3,9,1.0
203,0.9,3,3,9,1.0
204,0.9,3,3,9,1.0
205,0.9,3,3,9,1.0
206,0.9,3,3,9,1.0
207,0.9,3,3,9,1.0
208,0.9,3,3,9,1.0
209,0.9,3,3,9,1.0
210,0.9,3,3,9,1.0
211,0.9,4,5,20,0.8
212,0.9,4,5,20,0.8
213,0.9,4,5,20,0.8
214,0.9,4,5,20,0.8
215,0.9,4,5,20,0.8
216,0.9,4,5,20,0.8
217,0.9,4,5,20,0.8
218,0.9,4,5,20,0.8
219,0.9,4,5,20,0.8
220,0.9,4,5,20,0.8
221,0.9,5,5,25,1.0
222,0.9,5,5,25,1.0
223,0.9,5,5,25,1.0
224,0.9,5,5,25,1.0
225,0.9,5,5,25,1.0
226,0.9,5,5,25,1.0
227,0.9,5,5,25,1.0
228,0.9,5,5,25,1.0
229,0.9,5,5,25,1.0
230,0.9,5,5,25,1.0
231,0.9,6,8,48,0.75
232,0.9,6,8,48,0.75
233,0.9,6,8,48,0.75
234,0.9,6,8,48,0.75
235,0.9,6,8,48,0.75
236,0.9,6,8,48,0.75
237,0.9,6,8,48,0.75
238,0.9,6,8,48,0.75
239,0.9,6,8,48,0.75
240,0.9,6,8,48,0.75
241,0.9,8,10,80,0.8
242,0.9,8,10,80,0.8
243,0.9,8,10,80,0.8
244,0.9,8,10,80,0.8
245,0.9,8,10,80,0.8
246,0.9,8,10,80,0.8
247,0.9,8,10,80,0.8
248,0.9,8,10,80,0.8
249,0.9,8,10,80,0.8
250,0.9,8,10,80,0.8
