Experiment_ID,Initial_Sparsity,Initial_Density,Initial_Mean,Initial_Min,Initial_Max,Num_Zeros,Num_Ones,Num_Fractional,Converged,Convergence_Type,Iterations
1,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.0,1.0,5,4,0,True,binary_mixed,0
2,0.4444444444444444,0.4444444444444444,0.5,0.0,1.0,4,4,1,True,binary_mixed,1
3,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.0,1.0,3,4,2,True,binary_mixed,1
4,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,1.0,6,3,0,True,binary_mixed,0
5,0.1111111111111111,0.5555555555555556,0.6666666666666666,0.0,1.0,1,5,3,False,limit_cycle,-1
6,0.0,0.5555555555555556,0.7222222222222222,0.25,1.0,0,5,4,True,all_ones,2
7,0.0,0.5555555555555556,0.7222222222222222,0.25,1.0,0,5,4,True,all_ones,2
8,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,3,6,0,True,binary_mixed,0
9,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,3,6,0,True,binary_mixed,0
10,0.1111111111111111,0.5555555555555556,0.6666666666666666,0.0,1.0,1,5,3,False,limit_cycle,-1
11,0.0,0.7,0.8416666666666668,0.4166666666666667,1.0,0,14,6,True,all_ones,3
12,0.0,0.65,0.8083333333333332,0.3333333333333333,1.0,0,13,7,True,all_ones,3
13,0.0,0.7,0.8416666666666666,0.4166666666666667,1.0,0,14,6,True,all_ones,3
14,0.0,0.75,0.8777777777777779,0.4166666666666667,1.0,0,15,5,True,all_ones,2
15,0.0,0.65,0.7944444444444445,0.3333333333333333,1.0,0,13,7,True,all_ones,3
16,0.2,0.7,0.7666666666666666,0.0,1.0,4,14,2,True,binary_mixed,1
17,0.0,0.6,0.7333333333333333,0.1111111111111111,1.0,0,12,8,True,all_ones,3
18,0.0,0.75,0.9027777777777779,0.4444444444444444,1.0,0,15,5,True,all_ones,2
19,0.0,0.7,0.8555555555555555,0.4166666666666667,1.0,0,14,6,True,all_ones,3
20,0.0,0.75,0.9027777777777779,0.4444444444444444,1.0,0,15,5,True,all_ones,2
21,0.0,0.72,0.8716666666666667,0.5,1.0,0,18,7,True,all_ones,2
22,0.0,0.64,0.75,0.16666666666666666,1.0,0,16,9,True,all_ones,3
