FirmaID,UrunTID,Miktar,AlimSayisi
731,3190,2200,1
2027,3190,17465,19
3191,3190,12100,22
4775,3190,370150,72
6372,3190,1000,1
964,3337,2950,1
5751,3337,3000,1
6798,3337,4000,1
67,3347,6750,2
5751,3347,600,1
6372,3347,6100,6
6432,3347,850,1
9186,3347,20140,5
9782,3347,3070,4
885,3350,650,1
964,3350,9460,4
3008,3350,16000,1
4731,3350,600,1
4775,3350,3400,4
6885,3350,6000,3
7963,3350,3400,2
8194,3350,570,1
8397,3350,600,1
8847,3350,3100,1
794,3368,45000,10
3082,3368,177100,140
9319,3368,38500,19
4433,3802,2150,2
5096,4359,500,1
3008,6899,720,1
872,7914,3780,3
5798,7914,500,1
794,9608,136900,70
6372,9608,76430,50
6691,9608,21700,11
8666,9608,700,1
8847,10590,3350,1
6885,10608,10950,4
5096,11734,10600,7
5311,11734,1500,1
5751,11734,1000,2
10146,11734,1000,1
964,13972,900,1
5096,13972,2000,4
8397,13972,5790,3
8847,13972,13350,4
5798,15050,17100,1
6798,15050,4000,1
7749,15050,35224,2
8847,15050,4100,2
3797,16198,3500,5
6372,16198,2500,5
8179,16198,1500,1
794,17226,46300,10
6209,17226,5000,2
6577,17226,7000,3
6691,17226,49900,8
8725,17226,1500,2
2027,24349,4900,4
2537,24349,75425,20
3191,24349,18100,32
6372,24349,5500,3
8179,24349,26850,24
8796,24349,700,1
9608,24349,44150,7
666,25459,2600,2
8179,32083,1300,1
2007,34619,31576,5
5684,34619,19800,11
6372,34619,3400,3
666,40262,1150,1
666,40640,1450,2
872,40640,1300,1
5751,40640,1000,1
6209,40640,14500,3
8666,40640,6800,5
897,42168,6000,1
964,43396,18240,4
8397,43396,3860,1
6684,44464,29151,11
8179,44464,500,1
897,45337,44920,3
7721,45337,6500,6
7749,45337,10300,2
8540,45337,5600,2
8194,52198,700,1
25,52757,16400,6
666,52757,2500,3
897,52757,100903,14
1677,52757,3500,2
2842,52757,4000,2
3797,52757,28500,23
5751,52757,1000,2
7963,52757,4200,1
7989,52757,33557,18
8179,52757,13900,10
8811,52757,13300,11
9142,52757,700,1
9186,52757,3280,1
9572,52757,8500,9
9782,52757,3900,4
9829,52757,500,1
9975,52757,5500,8
3008,54690,4290,5
4775,54690,61300,19
8194,54690,7500,1
9608,54690,1000,1
9829,54690,1700,1
3331,56158,900,1
6684,56384,1365,1
715,57820,46500,30
39,60249,6350,1
6577,60249,114000,5
7311,60249,1450,1
7749,60249,10000,1
9319,60566,3000,1
872,61375,1200,1
3082,61375,37250,27
5336,61375,112750,102
5871,61375,1600,1
6567,61375,9800,11
6885,61375,443279,81
9151,61375,4500,3
5096,61459,18750,27
5751,61459,3700,3
9782,61459,2000,1
5096,61990,6450,9
8179,61990,5200,5
5336,63334,2600,3
8179,63334,1400,1
8816,63334,1200,1
8179,64535,1100,1
885,64670,560,1
964,64670,59940,18
974,64670,4500,2
2027,64670,500,1
2537,64670,4800,5
4775,64670,17450,7
5798,64670,24000,2
7311,64670,13750,1
8194,64670,3275,3
8725,64670,700,1
666,67849,1500,2
10146,67850,1600,2
3797,67854,1000,2
715,67871,2050,1
2537,67871,800,1
3008,69161,2470,1
9151,69252,1000,1
5333,69858,1400,1
7228,70788,1420,2
8725,70788,700,1
2842,71618,7450,5
2027,71746,1000,1
5336,72292,800,1
7311,72515,11350,1
3191,73320,30800,47
5751,73320,1500,2
6324,73320,1800,1
7228,73320,2700,1
8725,73320,1200,1
8796,73320,500,1
5336,74765,2400,3
8179,74765,1400,1
974,74868,650,1
3008,75502,1000,1
7311,75502,26400,2
5871,75796,3325,4
7721,76093,4750,5
734,77128,1610,3
3797,77128,11100,17
9319,78153,1000,1
9319,78156,1000,1
6209,78552,13700,9
3008,78646,2160,2
3797,78845,1200,2
5336,78845,4100,5
5871,78845,2850,1
9142,78845,1200,2
9151,78845,3000,3
5798,78847,1000,2
5871,78875,650,1
67,79643,3450,1
5871,79776,6900,2
5871,79777,6500,1
5871,79778,1700,1
